age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
21,Carmenta,"Jan 3, 2004",116,10,14,8010,Senegal,R. Strasbourg,"1,78 m","€20.00m Jun 3, 2025",Habib Diarra,4,0,Central Midfield,https://www.transfermarkt.com/habib-diarra/profil/spieler/876631,33,5,4,"2,438'"
19,CANTERA LATINA / ...,"Sep 27, 2005",64,6,10,3369,Colombia,R. Strasbourg,"1,74 m","€2.00m Jun 3, 2025",Óscar Perea,4,0,Left Winger,https://www.transfermarkt.com/oscar-perea/profil/spieler/1015624,10,1,2,689'
19,BS Group ...,"May 28, 2006",27,1,1,1802,France,R. Strasbourg B,"1,76 m",,Tidiane Diallo,6,0,Attacking Midfield,https://www.transfermarkt.com/tidiane-diallo/profil/spieler/1047100,12,1,-,942'
18,Two Touch Agency,"Jul 18, 2006",76,11,21,5104,England,R. Strasbourg,"1,74 m","€4.00m Jun 3, 2025",Samuel Amo-Ameyaw,9,0,Right Winger,https://www.transfermarkt.com/samuel-amo-ameyaw/profil/spieler/933900,20,1,5,"1,051'"
22,Team Emegha,"Feb 3, 2003",158,13,50,9930,Netherlands,R. Strasbourg,"1,96 m","€25.00m Jun 3, 2025",Emanuel Emegha,9,3,Centre-Forward,https://www.transfermarkt.com/emanuel-emegha/profil/spieler/559328,29,3,14,"2,408'"
21,,"Aug 7, 2003",100,11,9,6251,France,R. Strasbourg,"1,80 m","€10.00m Jun 3, 2025",Félix Lemaréchal,3,0,Attacking Midfield,https://www.transfermarkt.com/felix-lemarechal/profil/spieler/659518,32,4,5,"2,027'"
22,BS Group ...,"Jul 30, 2002",143,10,27,5098,France,R. Strasbourg,"1,83 m","€5.00m Jun 3, 2025",Sékou Mara,4,1,Centre-Forward,https://www.transfermarkt.com/sekou-mara/profil/spieler/557612,28,1,3,970'
24,,"Apr 9, 2001",23,1,,2070,Algeria,OGC Nice,"1,85 m","€50k Jun 3, 2025",Teddy Boulhendi,0,0,Goalkeeper,https://www.transfermarkt.com/teddy-boulhendi/profil/spieler/789419,-,,,0'
32,SVF FOOT,"Mar 4, 1993",241,6,,21759,France,OGC Nice,"1,88 m","€900k Jun 3, 2025",Maxime Dupé,0,0,Goalkeeper,https://www.transfermarkt.com/maxime-dupe/profil/spieler/127188,5,,,450'
22,Sport Cover,"Aug 26, 2002",140,28,18,9229,France,R. Strasbourg,"1,80 m","€25.00m Jun 3, 2025",Dilane Bakwa,6,0,Right Winger,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664,31,9,6,"2,518'"
25,,"Oct 4, 1999",136,5,,12231,Poland,OGC Nice,"1,99 m","€20.00m Jun 3, 2025",Marcin Bulka,5,0,Goalkeeper,https://www.transfermarkt.com/marcin-bulka/profil/spieler/465955,40,,,"3,600'"
26,FutureBall,"Oct 27, 1998",172,8,16,12832,Burundi,OGC Nice,"1,83 m","€12.00m Jun 3, 2025",Youssouf Ndayishimiye,25,1,Centre-Back,https://www.transfermarkt.com/youssouf-ndayishimiye/profil/spieler/674612,29,-,3,"2,328'"
25,Axia Sports ...,"Mar 30, 2000",73,,2,5813,Canada,OGC Nice,"1,90 m","€10.00m Jun 3, 2025",Moïse Bombito,19,0,Centre-Back,https://www.transfermarkt.com/moise-bombito/profil/spieler/1089202,35,-,-,"2,915'"
41,,"Oct 18, 1983",735,27,29,63607,Brazil,OGC Nice,"1,88 m","€500k Jun 3, 2025",Dante,13,2,Centre-Back,https://www.transfermarkt.com/dante/profil/spieler/16136,28,-,-,"2,212'"
17,,"Aug 5, 2007",22,,1,1615,France,OGC Nice,"1,82 m","€200k Jun 3, 2025",Amidou Doumbouya,4,1,Centre-Back,https://www.transfermarkt.com/amidou-doumbouya/profil/spieler/1075574,19,-,1,"1,459'"
26,,"Feb 1, 1999",173,,10,14739,Egypt,OGC Nice,"1,83 m","€4.00m Jun 3, 2025",Mohamed Abdelmonem,,,Centre-Back,https://www.transfermarkt.com/mohamed-abdelmonem/profil/spieler/566025,18,-,-,"1,395'"
32,UTOPIA,"Sep 25, 1992",396,74,45,30935,France,OGC Nice,"1,78 m","€5.00m Jun 3, 2025",Jonathan Clauss,14,2,Right-Back,https://www.transfermarkt.com/jonathan-clauss/profil/spieler/175639,38,11,3,"2,863'"
31,Scuderia,"Dec 20, 1993",316,23,44,24362,Tunisia,OGC Nice,"1,83 m","€3.00m Jun 3, 2025",Ali Abdi,36,4,Left-Back,https://www.transfermarkt.com/ali-abdi/profil/spieler/211474,33,2,5,"1,789'"
19,Darren Dein,"Jul 6, 2005",46,,1,3406,France,OGC Nice,"1,85 m","€150k Jun 3, 2025",Yaël Nandjou,,,Left-Back,https://www.transfermarkt.com/yael-nandjou/profil/spieler/984699,8,-,-,469'
24,CAA Stellar,"Nov 6, 2000",217,10,6,16191,France,OGC Nice,"1,73 m","€15.00m Jun 3, 2025",Melvin Bard,1,0,Left-Back,https://www.transfermarkt.com/melvin-bard/profil/spieler/532775,32,1,2,"2,462'"
21,Wasserman,"May 27, 2004",69,1,2,3925,Senegal,OGC Nice,"1,87 m","€2.50m Jun 3, 2025",Antoine Mendy,2,0,Right-Back,https://www.transfermarkt.com/antoine-mendy/profil/spieler/891998,23,-,-,"1,225'"
28,LIAN Sports Group,"Jan 3, 1997",356,33,52,20748,d'Ivoire,OGC Nice,"1,72 m","€10.00m Jun 3, 2025",Jérémie Boga,21,2,Left Winger,https://www.transfermarkt.com/jeremie-boga/profil/spieler/216569,24,1,3,"1,196'"
