age,agent,birth_date,career_stats_career_appearances,career_stats_career_assists,career_stats_career_goals,career_stats_career_minutes,citizenship,club,height,market_value,name,national_caps,national_goals,position,profile_url,season_stats_appearances,season_stats_assists,season_stats_goals,season_stats_minutes
23,ROOF,"Jul 27, 2001",126,3,,11277,Germany,1.FSV Mainz 05,"1,92 m","€400k Jun 5, 2025",Lasse Rieß,,,Goalkeeper,https://www.transfermarkt.com/lasse-riess/profil/spieler/490609,5,,,450'
31,YOU FIRST,"Apr 18, 1994",473,36,109,26604,Austria,SC Freiburg,"1,93 m","€3.00m Jun 5, 2025",Michael Gregoritsch,66,21,Centre-Forward,https://www.transfermarkt.com/michael-gregoritsch/profil/spieler/120205,,,,
34,Soccer and more,"Jan 12, 1991",368,10,,33194,Germany,1.FSV Mainz 05,"1,91 m","€250k Jun 5, 2025",Daniel Batz,0,0,Goalkeeper,https://www.transfermarkt.com/daniel-batz/profil/spieler/90317,-,,,0'
26,Sports360 GmbH,"Apr 30, 1999",197,3,7,16077,Germany,1.FSV Mainz 05,"1,90 m","€5.00m Jun 5, 2025",Moritz Jenz,,,Centre-Back,https://www.transfermarkt.com/moritz-jenz/profil/spieler/460245,20,-,-,"1,646'"
27,Sports360 GmbH,"May 18, 1998",180,4,5,14165,Germany,1.FSV Mainz 05,"1,89 m","€1.50m Jun 5, 2025",Maxim Leitsch,3,0,Centre-Back,https://www.transfermarkt.com/maxim-leitsch/profil/spieler/334207,16,-,1,846'
28,Nordic Sky,"Jan 17, 1997",300,10,12,24529,Norway,1.FSV Mainz 05,"1,85 m","€6.00m Jun 5, 2025",Andreas Hanche-Olsen,21,0,Centre-Back,https://www.transfermarkt.com/andreas-hanche-olsen/profil/spieler/370683,23,1,1,"1,399'"
31,Sports360 GmbH,"Jul 13, 1993",403,39,13,30569,Germany,1.FSV Mainz 05,"1,87 m","€1.50m Jun 5, 2025",Danny da Costa,5,1,Centre-Back,https://www.transfermarkt.com/danny-da-costa/profil/spieler/85906,25,1,-,"2,011'"
31,Unique Sports Group,"Jan 29, 1994",366,27,13,29859,Austria,1.FSV Mainz 05,"1,70 m","€1.80m Jun 5, 2025",Phillipp Mwene,,,Left-Back,https://www.transfermarkt.com/phillipp-mwene/profil/spieler/127573,34,5,1,"2,776'"
33,,"Aug 24, 1991",439,17,25,37351,Germany,1.FSV Mainz 05,"1,92 m","€800k Jun 5, 2025",Stefan Bell,6,1,Centre-Back,https://www.transfermarkt.com/stefan-bell/profil/spieler/82350,20,1,-,"1,517'"
19,SEG,"Jan 26, 2006",53,1,3,4364,Germany,FSV Mainz 05 II,"1,88 m","€150k Jun 5, 2025",Maxim Dal,7,0,Centre-Back,https://www.transfermarkt.com/maxim-dal/profil/spieler/934317,17,1,-,"1,408'"
27,BS Group ...,"Jul 1, 1997",222,23,7,16919,France,1.FSV Mainz 05,"1,84 m","€12.00m Jun 5, 2025",Anthony Caci,1,0,Right-Back,https://www.transfermarkt.com/anthony-caci/profil/spieler/453016,35,7,1,"2,863'"
22,YOU FIRST,"Jan 24, 2003",134,7,18,8386,Austria,1.FSV Mainz 05,"1,80 m","€1.50m Jun 5, 2025",Nikolas Veratschnig,0,0,Right-Back,https://www.transfermarkt.com/nikolas-veratschnig/profil/spieler/601143,17,-,-,462'
31,Sports360 GmbH,"Jan 31, 1994",454,30,35,30657,Germany,1.FSV Mainz 05,"1,83 m","€3.50m Jun 5, 2025",Dominik Kohr,4,0,Defensive Midfield,https://www.transfermarkt.com/dominik-kohr/profil/spieler/118847,30,-,3,"2,515'"
24,UDN SPORTS,"Dec 30, 2000",213,6,9,18352,Japan,1.FSV Mainz 05,"1,76 m","€20.00m Jun 5, 2025",Kaishu Sano,6,0,Defensive Midfield,https://www.transfermarkt.com/kaishu-sano/profil/spieler/643574,36,-,-,"3,254'"
25,,"Oct 8, 1999",209,4,4,16160,States,1.FSV Mainz 05,"1,88 m","€3.50m Jun 5, 2025",Lennard Maloney,2,0,Defensive Midfield,https://www.transfermarkt.com/lennard-maloney/profil/spieler/392710,26,-,-,"1,458'"
28,,"Oct 27, 1996",392,50,45,23295,Germany,1.FSV Mainz 05,"1,80 m","€20.00m Jun 5, 2025",Nadiem Amiri,7,0,Central Midfield,https://www.transfermarkt.com/nadiem-amiri/profil/spieler/232454,32,5,8,"2,660'"
32,,"Mar 5, 1993",486,56,40,38054,Switzerland,1.FSV Mainz 05,"1,83 m","€1.20m Jun 5, 2025",Silvan Widmer,50,4,Right-Back,https://www.transfermarkt.com/silvan-widmer/profil/spieler/168989,28,1,-,501'
26,Apertura Sports GmbH,"Jun 16, 1999",252,40,21,15787,South,1.FSV Mainz 05,"1,77 m","€3.50m Jun 5, 2025",Hyun-seok Hong,,,Attacking Midfield,https://www.transfermarkt.com/hyun-seok-hong/profil/spieler/562948,30,4,2,"1,080'"
22,Sport Business ...,"Feb 17, 2003",191,21,57,11210,Germany,1.FSV Mainz 05,"1,75 m","€3.00m Jun 5, 2025",Armindo Sieb,2,0,Second Striker,https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033,30,3,3,926'
22,PRO Profil GmbH,"Oct 10, 2002",206,58,47,15413,Germany,1.FSV Mainz 05,"1,69 m","€24.00m Jun 5, 2025",Paul Nebel,11,1,Attacking Midfield,https://www.transfermarkt.com/paul-nebel/profil/spieler/503160,33,7,10,"2,491'"
24,PRO Profil GmbH,"Jul 11, 2000",213,32,76,14347,Germany,1.FSV Mainz 05,"1,83 m","€35.00m Jun 5, 2025",Jonathan Burkardt,3,0,Centre-Forward,https://www.transfermarkt.com/jonathan-burkardt/profil/spieler/333647,30,3,19,"2,246'"
27,One Team Football,"Jun 17, 1998",263,20,47,15192,France,1.FSV Mainz 05,"1,70 m","€5.00m Jun 5, 2025",Arnaud Nordin,1,0,Right Winger,https://www.transfermarkt.com/arnaud-nordin/profil/spieler/324811,23,1,4,"1,308'"
20,,"Mar 17, 2005",84,5,48,4435,Germany,1.FSV Mainz 05,"1,92 m","€10.00m Jun 5, 2025",Nelson Weiper,,,Centre-Forward,https://www.transfermarkt.com/nelson-weiper/profil/spieler/796213,,,,
32,Unique Sports Group,"Aug 10, 1992",418,90,78,32519,South,1.FSV Mainz 05,"1,80 m","€2.50m Jun 5, 2025",Jae-sung Lee,96,14,Attacking Midfield,https://www.transfermarkt.com/jae-sung-lee/profil/spieler/314398,34,9,7,"2,777'"
27,ROOF,"Oct 21, 1997",222,7,,19840,Germany,Bor. M'gladbach,"1,93 m","€5.00m Jun 5, 2025",Moritz Nicolas,1,0,Goalkeeper,https://www.transfermarkt.com/moritz-nicolas/profil/spieler/284270,20,,,"1,730'"
19,Wasserman,"Apr 7, 2006",56,2,,5029,Luxembourg,Bor. M'gladbach,"1,90 m","€1.50m Jun 5, 2025",Tiago Pereira Cardoso,6,0,Goalkeeper,https://www.transfermarkt.com/tiago-pereira-cardoso/profil/spieler/926301,20,,,"1,789'"
31,Signature - ISCM AG,"Jan 10, 1994",341,10,,30326,Switzerland,Bor. M'gladbach,"1,90 m","€2.50m Jun 5, 2025",Jonas Omlin,4,0,Goalkeeper,https://www.transfermarkt.com/jonas-omlin/profil/spieler/247915,13,,,"1,069'"
28,,"Sep 30, 1996",409,14,22,34353,Switzerland,Bor. M'gladbach,"1,89 m","€8.00m Jun 5, 2025",Nico Elvedi,57,2,Centre-Back,https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635,,,,
28,,"Jan 27, 1997",237,8,16,19211,Japan,Bor. M'gladbach,"1,88 m","€12.00m Jun 5, 2025",Ko Itakura,,,Centre-Back,https://www.transfermarkt.com/ko-itakura/profil/spieler/355816,33,1,4,"2,970'"
37,,"Mar 22, 1988",320,20,,28574,Germany,Bor. M'gladbach,"1,83 m","€300k Jun 5, 2025",Tobias Sippel,0,0,Goalkeeper,https://www.transfermarkt.com/tobias-sippel/profil/spieler/31653,,,,
21,SEG,"Mar 16, 2004",102,16,12,8045,Germany,Bor. M'gladbach,"1,80 m","€8.00m Jun 5, 2025",Lukas Ullrich,,,Left-Back,https://www.transfermarkt.com/lukas-ullrich/profil/spieler/787151,33,3,1,"2,470'"
22,11WINS,"May 15, 2003",178,30,12,11453,Germany,Bor. M'gladbach,"1,84 m","€6.00m Jun 5, 2025",Luca Netz,17,0,Left-Back,https://www.transfermarkt.com/luca-netz/profil/spieler/524285,25,2,1,"1,049'"
20,Sports360 GmbH,"Jun 5, 2005",73,2,3,4346,Italy,Bor. M'gladbach,"1,86 m","€2.00m Jun 5, 2025",Fabio Chiarodia,,,Centre-Back,https://www.transfermarkt.com/fabio-chiarodia/profil/spieler/724104,,,,
